Epoch:[1/6](14100/44160) loss:0.804 lr:0.000546514416 epoch_Time:162.0min:
Epoch:[1/6](14200/44160) loss:0.801 lr:0.000546464917 epoch_Time:162.0min:
Epoch:[1/6](14300/44160) loss:0.792 lr:0.000546415071 epoch_Time:161.0min:
Epoch:[1/6](14400/44160) loss:0.808 lr:0.000546364879 epoch_Time:161.0min:
Epoch:[1/6](14500/44160) loss:0.801 lr:0.000546314341 epoch_Time:160.0min:
Epoch:[1/6](14600/44160) loss:0.797 lr:0.000546263457 epoch_Time:160.0min:
Epoch:[1/6](14700/44160) loss:0.799 lr:0.000546212226 epoch_Time:159.0min:
Epoch:[1/6](14800/44160) loss:0.797 lr:0.000546160649 epoch_Time:159.0min:
Epoch:[1/6](14900/44160) loss:0.799 lr:0.000546108726 epoch_Time:157.0min:
Epoch:[1/6](15000/44160) loss:0.810 lr:0.000546056457 epoch_Time:157.0min:
Epoch:[1/6](15100/44160) loss:0.800 lr:0.000546003842 epoch_Time:156.0min:
Epoch:[1/6](15200/44160) loss:0.802 lr:0.000545950882 epoch_Time:156.0min:
Epoch:[1/6](15300/44160) loss:0.805 lr:0.000545897575 epoch_Time:155.0min:
Epoch:[1/6](15400/44160) loss:0.794 lr:0.000545843923 epoch_Time:155.0min:
Epoch:[1/6](15500/44160) loss:0.802 lr:0.000545789925 epoch_Time:154.0min:
Epoch:[1/6](15600/44160) loss:0.801 lr:0.000545735582 epoch_Time:154.0min:
Epoch:[1/6](15700/44160) loss:0.795 lr:0.000545680893 epoch_Time:153.0min:
Epoch:[1/6](15800/44160) loss:0.805 lr:0.000545625859 epoch_Time:153.0min:
Epoch:[1/6](15900/44160) loss:0.805 lr:0.000545570480 epoch_Time:152.0min:
Epoch:[1/6](16000/44160) loss:0.814 lr:0.000545514755 epoch_Time:152.0min:
Epoch:[1/6](16100/44160) loss:0.803 lr:0.000545458685 epoch_Time:151.0min:
Epoch:[1/6](16200/44160) loss:0.800 lr:0.000545402270 epoch_Time:150.0min:
Epoch:[1/6](16300/44160) loss:0.800 lr:0.000545345510 epoch_Time:149.0min:
Epoch:[1/6](16400/44160) loss:0.854 lr:0.000545288405 epoch_Time:149.0min:
Epoch:[1/6](16500/44160) loss:0.891 lr:0.000545230955 epoch_Time:148.0min:
Epoch:[1/6](16600/44160) loss:0.863 lr:0.000545173161 epoch_Time:147.0min:
Epoch:[1/6](16700/44160) loss:0.894 lr:0.000545115022 epoch_Time:147.0min:
Epoch:[1/6](16800/44160) loss:0.851 lr:0.000545056538 epoch_Time:146.0min:
Epoch:[1/6](16900/44160) loss:0.839 lr:0.000544997710 epoch_Time:146.0min:
Epoch:[1/6](17000/44160) loss:0.843 lr:0.000544938537 epoch_Time:145.0min:
Epoch:[1/6](17100/44160) loss:0.830 lr:0.000544879020 epoch_Time:145.0min:
Epoch:[1/6](17200/44160) loss:0.876 lr:0.000544819159 epoch_Time:144.0min:
Epoch:[1/6](17300/44160) loss:0.850 lr:0.000544758953 epoch_Time:145.0min:
Epoch:[1/6](17400/44160) loss:0.833 lr:0.000544698404 epoch_Time:144.0min:
Epoch:[1/6](17500/44160) loss:0.845 lr:0.000544637510 epoch_Time:143.0min:
Epoch:[1/6](17600/44160) loss:0.866 lr:0.000544576273 epoch_Time:143.0min:
Epoch:[1/6](17700/44160) loss:0.848 lr:0.000544514691 epoch_Time:142.0min:
Epoch:[1/6](17800/44160) loss:0.804 lr:0.000544452766 epoch_Time:142.0min:
Epoch:[1/6](17900/44160) loss:0.834 lr:0.000544390497 epoch_Time:141.0min:
Epoch:[1/6](18000/44160) loss:0.867 lr:0.000544327885 epoch_Time:141.0min:
Epoch:[1/6](18100/44160) loss:0.846 lr:0.000544264929 epoch_Time:140.0min:
Epoch:[1/6](18200/44160) loss:0.837 lr:0.000544201630 epoch_Time:139.0min:
Epoch:[1/6](18300/44160) loss:0.818 lr:0.000544137988 epoch_Time:139.0min:
Epoch:[1/6](18400/44160) loss:0.823 lr:0.000544074002 epoch_Time:138.0min:
Epoch:[1/6](18500/44160) loss:0.864 lr:0.000544009673 epoch_Time:138.0min:
Epoch:[1/6](18600/44160) loss:0.828 lr:0.000543945001 epoch_Time:138.0min:
Epoch:[1/6](18700/44160) loss:0.814 lr:0.000543879986 epoch_Time:138.0min:
Epoch:[1/6](18800/44160) loss:0.827 lr:0.000543814628 epoch_Time:137.0min:
Epoch:[1/6](18900/44160) loss:0.819 lr:0.000543748928 epoch_Time:137.0min:
Epoch:[1/6](19000/44160) loss:0.803 lr:0.000543682885 epoch_Time:136.0min:
Epoch:[1/6](19100/44160) loss:0.819 lr:0.000543616499 epoch_Time:135.0min:
Epoch:[1/6](19200/44160) loss:0.794 lr:0.000543549771 epoch_Time:135.0min:
